net_type,area_no,train_type,mse_median,nse_median,log_nse_median,atpe_median,rmse_median,bias_median,kge_median,mse_mean,nse_mean,log_nse_mean,atpe_mean,rmse_mean,bias_mean,kge_mean
CNN-GNN-LSTM,11,new,0.1763940453529358,0.6053491234779358,0.5464131832122803,0.39339548349380493,1.227569580078125,0.023857250809669495,0.7270093560218811,0.3192398250102997,0.5648900270462036,0.20384334027767181,0.5188368558883667,1.2797880172729492,0.13131363689899445,0.6269134283065796
CNN-GNN-LSTM,11,max_nse,0.16124260425567627,0.6407629251480103,0.5899232029914856,0.3999428153038025,1.1736171245574951,-0.027870498597621918,0.6725719571113586,0.3023403584957123,0.5990845561027527,0.3797931373119354,0.534627377986908,1.2282439470291138,0.10523179918527603,0.6052780151367188
CNN-GNN-LSTM,11,min_mse,0.17345580458641052,0.6181602478027344,0.4080606997013092,0.39760178327560425,1.2176799774169922,-0.0020890533924102783,0.729028046131134,0.30654993653297424,0.5858741998672485,-1.2651365995407104,0.45950451493263245,1.2481677532196045,-0.008009581826627254,0.7001943588256836
CNN-LSTM,11,new,0.2332715392112732,0.5382289886474609,0.46782249212265015,0.4670352041721344,1.4119000434875488,0.06011148542165756,0.6923035383224487,0.36248207092285156,0.46793898940086365,-0.34206005930900574,0.534063994884491,1.393588900566101,0.1378275752067566,0.5487012267112732
CNN-LSTM,11,max_nse,0.1227872222661972,0.6311138868331909,0.36085882782936096,0.40747976303100586,1.0229171514511108,-0.05089646950364113,0.6875952482223511,0.28873342275619507,0.5915646553039551,-2.2207696437835693,0.46848493814468384,1.2060526609420776,-0.05519004538655281,0.6469520330429077
CNN-LSTM,11,min_mse,0.14330576360225677,0.5967013835906982,-0.17949551343917847,0.47359952330589294,1.1046382188796997,0.03688935562968254,0.6858357191085815,0.29600971937179565,0.5654357075691223,-2.5534896850585938,0.5228908658027649,1.230290174484253,0.08543835580348969,0.6264689564704895
LSTM,11,new,0.1948201060295105,0.5507391095161438,0.3188791573047638,0.462431401014328,1.2888622283935547,0.05147332325577736,0.6523315906524658,0.35496729612350464,0.4731087386608124,-1.0366545915603638,0.5550748705863953,1.3647726774215698,0.13007281720638275,0.5324640870094299
LSTM,11,max_nse,0.1113450676202774,0.6295427680015564,0.5674577951431274,0.40638482570648193,0.976199746131897,0.03588855266571045,0.6986614465713501,0.2841888964176178,0.593940258026123,-0.486118346452713,0.49907252192497253,1.1891409158706665,0.11274286359548569,0.6207000017166138
LSTM,11,min_mse,0.11735996603965759,0.6027027368545532,0.22610411047935486,0.41764765977859497,1.0000972747802734,0.041246674954891205,0.679658055305481,0.2900125980377197,0.5888165235519409,-1.2059848308563232,0.5979596376419067,1.2038443088531494,0.18987295031547546,0.5569802522659302
CNN-GNN-LSTM,2,new,0.22267431020736694,0.7664364576339722,0.9338262677192688,0.1958778351545334,1.1074482202529907,-0.031127026304602623,0.8108459711074829,0.2540135085582733,0.7502826452255249,0.8661248087882996,0.21332260966300964,1.138055443763733,-0.02804994396865368,0.792719304561615
